subject_id,valence_mean,valence_max,valence_median,valence_min,valence_std,arousal_mean,arousal_max,arousal_median,arousal_min,arousal_std
sub-027,-0.010447162181478824,1.0,0.16115952,-1.0,0.7190649888253529,-0.3400653609983489,1.0,-1.0,-1.0,0.8615710866815728
sub-028,0.3457731087552046,1.0,0.7087571,-1.0,0.772088804858766,-0.5250734403063173,1.0,-0.5724425,-1.0,0.4549253452767965
sub-029,-0.23371514548295047,1.0,-0.2478222,-1.0,0.6811572281763835,-0.05414577105460158,1.0,0.0094756339999999,-1.0,0.7027535915203993
sub-030,-0.320895883551005,0.72230023,-0.20400266,-1.0,0.49409512049724474,-0.34333148904953337,1.0,-0.41640243,-1.0,0.6000150423766605
sub-031,0.403454980557421,1.0,0.6679456,-1.0,0.598860148797157,-0.39595143786870063,1.0,-0.9243726,-1.0,0.8077759124977894
sub-032,-0.20105406213230437,1.0,-0.3164151245283019,-1.0,0.8184781627993692,-0.2157684812322685,1.0,-0.43739435,-1.0,0.792007129718139
sub-033,0.42537942047903804,1.0,0.6587455,-1.0,0.6038614471841655,-0.17986603850811916,1.0,-0.20292169,-1.0,0.6331901922292545
sub-034,-0.6703353293839326,0.19995895,-0.6748134,-1.0,0.3160836747598191,-0.6621956615947595,0.16173129,-0.66963565,-1.0,0.2513933526481048
sub-035,0.23145457348391962,1.0,0.44635114,-1.0,0.7930477247754544,-0.5197001734932125,1.0,-0.6830626,-1.0,0.5444709623512254
sub-036,0.2601065941488873,1.0,0.41272423,-1.0,0.7342955961690808,-0.13549104823359656,1.0,-0.3750805,-1.0,0.6459872995548235
sub-037,0.4472080259982053,1.0,0.604094,-1.0,0.4840277627319011,-0.9695876345599426,-0.021386612,-1.0,-1.0,0.11016129890200824
sub-038,-0.04570540188944724,1.0,-0.07374071,-1.0,0.7731518660545714,-0.3209582056771357,1.0,-0.60100585,-1.0,0.7047162046593726
sub-039,-0.3014425747890883,1.0,-0.62743485,-1.0,0.7600228598733648,-0.786550262764178,1.0,-1.0,-1.0,0.35254616119828114
sub-040,-0.03673654206866475,1.0,-0.0145831307419354,-1.0,0.7649110082516779,-0.4273145891823403,1.0,-1.0,-1.0,0.8020960920013176
sub-041,0.24163077396051685,1.0,0.85315305,-1.0,0.8652499234291788,0.12279816577494615,1.0,0.1679271,-1.0,0.7313341349000708
sub-042,0.2338704351970567,1.0,0.80097014,-1.0,0.8673470763079538,-0.19486087325134602,1.0,-0.22982852,-1.0,0.7135659653873567
sub-043,-0.0224047907662168,1.0,-0.042200927,-1.0,0.714938070601097,-0.37375843356547017,1.0,-1.0,-1.0,0.7911123506916271
sub-044,0.34486529289257,1.0,0.41321835,-1.0,0.45268351903517845,0.44224176201241927,1.0,0.61001323,-1.0,0.6059934059758829
sub-045,-0.3076749507066858,1.0,-0.3733091,-1.0,0.6754795059383942,-0.6334466686368799,1.0,-0.9199316,-1.0,0.48384630310312926
sub-046,-0.3019316354608543,1.0,-0.37300852,-1.0,0.6601241376958547,-0.4362265973086863,1.0,-0.97897375,-1.0,0.7462924658007634
sub-047,-0.37324707051371137,1.0,-0.56391084,-1.0,0.6398512102925186,-0.3371279312269921,1.0,-0.49060944,-1.0,0.6048354774355919
