subject_id,n_samples,valence_n,valence_pct_missing,valence_mean,valence_median,valence_std,valence_min,valence_max,valence_q25,valence_q75,valence_iqr,valence_skew,valence_kurtosis,valence_n_outliers_iqr,arousal_n,arousal_pct_missing,arousal_mean,arousal_median,arousal_std,arousal_min,arousal_max,arousal_q25,arousal_q75,arousal_iqr,arousal_skew,arousal_kurtosis,arousal_n_outliers_iqr,vector_length_n,vector_length_pct_missing,vector_length_mean,vector_length_median,vector_length_std,vector_length_min,vector_length_max,vector_length_q25,vector_length_q75,vector_length_iqr,vector_length_skew,vector_length_kurtosis,vector_length_n_outliers_iqr,angle_n,angle_pct_missing,angle_circ_mean_deg,angle_circ_std_deg,angle_resultant_length_R,angle_min,angle_max
sub-025,1393,1393,0.0,0.15323485121005023,0.42262706,0.7878059852385326,-1.0,1.0,-0.94802266,0.925011,1.87303366,-0.46205535898978245,-1.3903980899181874,0,1393,0.0,-0.3338095925251256,-0.36968505,0.5111847970732707,-1.0,1.0,-0.8052656,0.0216789266666666,0.8269445266666666,0.4983793179043738,-0.5815768103018004,0,1393,0.0,0.6809676908888165,0.7161266368607191,0.2107778411463936,0.004328064572174775,1.0,0.6146864602196376,0.8272173866497728,0.21253092643013527,-0.9918880466536862,0.42827600248114406,111,1393,0.0,296.44636818853354,76.70262648944768,0.40816786592469634,0.2743920016987431,359.8757885882391
sub-026,1393,1393,0.0,-0.4253999060293612,-1.0,0.7927607326244842,-1.0,1.0,-1.0,0.2989332,1.2989332,0.9142933899641418,-0.9245839025687936,0,1393,0.0,-0.15734532522468053,-0.111623322,0.5433625122244018,-1.0,1.0,-0.5741608,0.17392078,0.74808158,0.1016682023623921,-0.7377469756987356,0,1393,0.0,0.7388199235600745,0.725758302180658,0.1361777999491299,0.03924526580940175,1.0,0.7082226170254939,0.8051359063059602,0.09691328928046627,-1.3763141898632911,4.668042970077639,194,1393,0.0,199.87343332338284,75.59434900121397,0.41879699479901333,0.3529609707881036,359.92114575920306
sub-027,1393,1393,0.0,-0.010447162181478824,0.16115952,0.7190649888253531,-1.0,1.0,-0.830661,0.60577327,1.43643427,-0.1591829057435027,-1.4364231111948975,0,1393,0.0,-0.3400653609983489,-1.0,0.8615710866815729,-1.0,1.0,-1.0,0.7452639,1.7452638999999999,0.7034750954435824,-1.3637775630734312,0,1393,0.0,0.8232183295434123,0.80650778850402,0.09707064019838776,0.3792318463067585,1.0,0.7320688863966838,0.9035352650043563,0.17146637860767255,0.3382841847329434,-0.8176335279146136,1,1393,0.0,267.97803086600237,88.88674190232142,0.3001812830106696,0.44566972756422274,357.9766314978526
sub-028,1393,1393,0.0,0.3457731087552046,0.7087571,0.772088804858766,-1.0,1.0,-0.30561417,1.0,1.3056141700000001,-0.7768786015916802,-1.0195177813548284,0,1393,0.0,-0.5250734403063173,-0.5724425,0.4549253452767965,-1.0,1.0,-0.99052566,-0.24682878,0.74369688,0.9215148265992084,0.5068173413464718,13,1393,0.0,0.7496015115723272,0.7609667511227544,0.19236829445726186,0.044324040450645856,1.0,0.7075143499869259,0.8775027937324216,0.1699884437454957,-1.0547307806182917,1.070309182520913,127,1393,0.0,301.13434249892447,63.059671706102925,0.5457147009758905,0.07675229552557994,359.8642029313761
sub-029,1393,1393,0.0,-0.23371514548295041,-0.2478222,0.681157228176383,-1.0,1.0,-1.0,0.29501304,1.29501304,0.3578710167896156,-1.2176880663623197,0,1393,0.0,-0.054145771054601576,0.0094756339999999,0.7027535915203992,-1.0,1.0,-0.76406693,0.5362728,1.3003397300000001,0.049217875570251125,-1.357700537021634,0,1393,0.0,0.6847847359107452,0.7125750236887326,0.19608625783667163,0.022361185608018398,1.0,0.6074973698752829,0.8162389734672346,0.2087416035919517,-0.922566934852038,0.49973262347351444,85,1393,0.0,201.7060938312617,101.95690966746601,0.2053003517093337,0.2366279723167395,358.99060691102045
sub-030,1393,1393,0.0,-0.320895883551005,-0.20400266,0.49409512049724486,-1.0,0.72230023,-0.94433224,0.07032128,1.01465352,-0.14772204856934398,-1.2652326650570234,0,1393,0.0,-0.34333148904953337,-0.41640243,0.60001504237666,-1.0,1.0,-1.0,0.0420442900666666,1.0420442900666667,0.5376906206531747,-0.8026825857950688,0,1393,0.0,0.6197950625574916,0.7073845023067203,0.16779988497304427,0.06659900547844426,0.960531893182366,0.5182105670808972,0.7153704047480648,0.1971598376671676,-0.924831574598228,0.11548529557709042,26,1393,0.0,229.555900181355,67.22051113675761,0.5024688165998177,17.072539886925597,334.074927039997
sub-031,1393,1393,0.0,0.403454980557421,0.6679456,0.5988601487971568,-1.0,1.0,-0.07538396,0.93184817,1.00723213,-0.7925139126217954,-0.5733695837259769,0,1393,0.0,-0.39595143786870063,-0.9243726,0.8077759124977898,-1.0,1.0,-1.0,0.52412176,1.5241217599999999,0.9091453829623294,-0.9576422399882083,0,1393,0.0,0.8032429198453418,0.8011754082484092,0.1407001110404088,0.048216543380604146,1.0,0.7228976535220127,0.9026773739672691,0.17977972044525636,-1.0956019938217696,2.561735434682313,29,1393,0.0,319.14760491421873,75.02587746873105,0.42429436832450285,3.7481026144805583,359.8885862397101
sub-032,1393,1393,0.0,-0.20105406213230437,-0.3164151245283019,0.8184781627993694,-1.0,1.0,-1.0,0.7194346,1.7194346,0.41352222739535405,-1.4721074825610567,0,1393,0.0,-0.2157684812322685,-0.43739435,0.792007129718139,-1.0,1.0,-1.0,0.62294114,1.62294114,0.40687640375867923,-1.4758716268404544,0,1393,0.0,0.8193808393198647,0.807332125303789,0.14228229228531988,0.13311805036390614,1.0,0.714247861277419,0.9462900054161092,0.23204214413869018,-0.995096598819916,2.0811827414565496,25,1393,0.0,231.65795031806135,95.53790617309114,0.2490263767623745,0.041855035044079614,359.97507095168163
sub-033,1393,1393,0.0,0.42537942047903804,0.6587455,0.6038614471841651,-1.0,1.0,0.09073465,1.0,0.90926535,-0.8767241935042833,-0.43355932079390236,0,1393,0.0,-0.1798660385081192,-0.20292169,0.6331901922292545,-1.0,1.0,-0.825649,0.3185864,1.1442354,0.16326900180866516,-1.1838195425877414,0,1393,0.0,0.6770794952148246,0.7135015169385557,0.17535561503246264,0.007499507525428268,1.0,0.6093933712922343,0.7839573620613847,0.1745639907691504,-1.1902768022539238,2.0661746844492415,76,1393,0.0,336.2419320181561,72.78261148694486,0.44627218677918634,0.053664991005859974,359.9242427050387
sub-034,1393,1393,0.0,-0.6703353293839326,-0.6748134,0.31608367475981847,-1.0,0.19995895,-1.0,-0.41946587,0.58053413,0.4371966181969744,-1.0053011597749222,0,1393,0.0,-0.6621956615947595,-0.66963565,0.2513933526481046,-1.0,0.16173129,-0.8447911,-0.52933306,0.31545804,0.49397945627068457,-0.18260140043893847,10,1393,0.0,0.6911432195801233,0.7661715486526165,0.2185791162180149,0.18233397996999892,1.0,0.5171369790666277,0.8671126914667903,0.34997571240016256,-0.40933566326016596,-1.0726847690351151,0,1393,0.0,225.5456341230972,18.159424107797776,0.951014439008955,165.30316316851452,302.956226981098
sub-035,1393,1393,0.0,0.23145457348391957,0.44635114,0.7930477247754544,-1.0,1.0,-0.61338425,1.0,1.61338425,-0.3458687476596239,-1.5648351311725024,0,1393,0.0,-0.5197001734932124,-0.6830626,0.5444709623512256,-1.0,1.0,-1.0,-0.16018362,0.83981638,0.920863566590283,-0.22547358373190463,0,1393,0.0,0.7779575188417204,0.7533524213877066,0.13776784519155558,0.22534357945967676,1.0,0.7093926271087941,0.8598856219644126,0.1504929948556185,-0.26562968451459334,0.5431841761364127,38,1393,0.0,290.5701809538023,69.77532397152959,0.4763847034367221,0.019570981024060075,359.8871597406917
sub-036,1393,1393,0.0,0.2601065941488873,0.41272423,0.7342955961690807,-1.0,1.0,-0.3547048,1.0,1.3547048,-0.4220183150367252,-1.290952971724207,0,1393,0.0,-0.13549104823359653,-0.3750805,0.6459872995548237,-1.0,1.0,-0.6118107,0.3084038,0.9202145,0.7305758020353229,-0.8268044615240333,0,1393,0.0,0.7056642280799905,0.7344001923669586,0.1515341564099238,0.06945286067066532,1.0,0.6555287537264097,0.7923068773597772,0.1367781236333675,-1.4438636793627067,2.608032544398057,75,1393,0.0,327.6141257987084,90.20534207218876,0.28957627597932256,1.0309748819190077,359.46938067899407
sub-037,1393,1393,0.0,0.4472080259982053,0.604094,0.4840277627319013,-1.0,1.0,-0.029167531,0.82860285,0.857770381,-0.5736859747453031,-1.0104804952362754,0,1393,0.0,-0.9695876345599426,-1.0,0.11016129890200817,-1.0,-0.021386612,-1.0,-1.0,0.0,3.9579518506051876,16.015652400685607,0,1393,0.0,0.8207494585144653,0.8254425732946694,0.13983099505735658,0.2739504064820011,1.0,0.730894252794217,0.9183089575486352,0.18741470475441813,-0.9618263314527672,1.5066643082265774,23,1393,0.0,291.6291919618552,24.351833007811514,0.9136379903902169,181.22517583522435,315.0
sub-038,1393,1393,0.0,-0.04570540188944722,-0.07374071,0.7731518660545714,-1.0,1.0,-1.0,0.809584,1.809584,0.05036009597017523,-1.5469682507507145,0,1393,0.0,-0.3209582056771357,-0.60100585,0.7047162046593727,-1.0,1.0,-1.0,0.24928112,1.24928112,0.5856829783153915,-1.0950451549863076,0,1393,0.0,0.7571884068434929,0.7486294680014439,0.16136150828933482,0.051755557175117824,1.0,0.7090266893112359,0.8520740929877787,0.14304740367654278,-1.2158135197612732,2.5060676067928203,111,1393,0.0,261.55582848567246,89.36757037603026,0.2962880809785351,0.48289185456656014,359.81581848102894
sub-039,1393,1393,0.0,-0.30144257478908826,-0.62743485,0.7600228598733658,-1.0,1.0,-1.0,0.26669365,1.2666936500000001,0.6217520510300156,-1.1539741074883272,0,1393,0.0,-0.786550262764178,-1.0,0.35254616119828114,-1.0,1.0,-1.0,-0.6733957,0.32660429999999996,1.8899376924374363,3.5709656899253224,120,1393,0.0,0.8324911616515056,0.8238731666910057,0.11154233800764324,0.17659175944917727,1.0,0.7278043676988272,0.9324302014462021,0.20462583374737497,-0.21085493828351545,0.8492092245638787,6,1393,0.0,250.12157377166434,47.542312933458376,0.7087453115371696,0.8722752983018722,359.8172699401305
sub-040,1393,1393,0.0,-0.036736542068664786,-0.0145831307419354,0.7649110082516781,-1.0,1.0,-0.90044206,0.79122627,1.6916683300000002,0.06267096204488426,-1.4822006259490352,0,1393,0.0,-0.4273145891823402,-1.0,0.8020960920013182,-1.0,1.0,-1.0,0.20343433,1.2034343299999999,0.9517083860395493,-0.8673227636883873,0,1393,0.0,0.8263226878852812,0.8418652143446347,0.1515372105530487,0.02081124104404205,1.0,0.7142762840522902,0.9635059936776833,0.24922970962539315,-1.1347768781624887,2.56783748715043,13,1393,0.0,265.1941642926712,76.66896663697149,0.4084889297966139,6.5961822871161075,355.67452209569717
sub-041,1393,1393,0.0,0.24163077396051685,0.85315305,0.8652499234291788,-1.0,1.0,-0.8721534,1.0,1.8721534,-0.4771827837502959,-1.5806002541939839,0,1393,0.0,0.12279816577494614,0.1679271,0.7313341349000708,-1.0,1.0,-0.60184205,0.87789106,1.47973311,-0.2898962179084112,-1.3453804631244304,0,1393,0.0,0.8009562941274239,0.8263874373877665,0.19110328834475157,0.02809405382405509,1.0,0.7085199425838236,0.9796782039577346,0.2711582613739111,-1.208028439172548,1.5743545717780751,40,1393,0.0,21.495661980591937,96.12618851609727,0.24478630811558733,0.14928744735738064,359.85937147613805
